id,term,def
,cancelbot,"[Usenet: compound, cancel + robot] 1. Mythically, a [[bu;#fff;;jargon]robocanceller] 2. In reality, most cancelbots are manually operated by being fed lists of spam message IDs."
,Cancelmoose[tm],"[Usenet] The archetype and model of all good [[bu;#fff;;jargon]spam]-fighters. Once upon a time, the 'Moose would send out spam-cancels and then post notice anonymously to news.admin.policy, news.admin.misc, and alt.current-events.net-abuse. The 'Moose stepped to the fore on its own initiative, at a time (mid-1994) when spam-cancels were irregular and disorganized, and behaved altogether admirably — fair, even-handed, and quick to respond to comments and criticism, all without self-aggrandizement or martyrdom. Cancelmoose[tm] quickly gained near-unanimous support from the readership of all three above-mentioned groups.Nobody knows who Cancelmoose[tm] really is, and there aren't even any good rumors. However, the 'Moose now has an e-mail address (moose@cm.org) and a web site (http://www.cm.org/.) By early 1995, others had stepped into the spam-cancel business, and appeared to be comporting themselves well, after the 'Moose's manner. The 'Moose has now gotten out of the business, and is more interested in ending spam (and cancels) entirely."
,candygrammar,"A programming-language grammar that is mostly [[bu;#fff;;jargon]syntactic sugar]; the term is also a play on ‘candygram’. [[bu;#fff;;jargon]COBOL], Apple's Hypertalk language, and a lot of the so-called ‘4GL’ database languages share this property. The usual intent of such designs is that they be as English-like as possible, on the theory that they will then be easier for unskilled people to program. This intention comes to grief on the reality that syntax isn't what makes programming hard; it's the mental effort and organization required to specify an algorithm precisely that costs. Thus the invariable result is that ‘candygrammar’ languages are just as difficult to program in as terser ones, and far more painful for the experienced hacker.[The overtones from the old Chevy Chase skit on Saturday Night Live should not be overlooked. This was a Jaws parody. Someone lurking outside an apartment door tries all kinds of bogus ways to get the occupant to open up, while ominous music plays in the background. The last attempt is a half-hearted [[i;;]Candygram!] When the door is opened, a shark bursts in and chomps the poor occupant. [There is a similar gag in [[i;;]Blazing Saddles] —ESR] There is a moral here for those attracted to candygrammars. Note that, in many circles, pretty much the same ones who remember Monty Python sketches, all it takes is the word [[i;;]Candygram!], suitably timed, to get people rolling on the floor. — GLS]"
,canonical,"[very common; historically, ‘according to religious law’] The usual or standard state or manner of something. This word has a somewhat more technical meaning in mathematics. Two formulas such as 9 + x and x + 9 are said to be equivalent because they mean the same thing, but the second one is in [[b;#fff;]canonical form] because it is written in the usual way, with the highest power of x first. Usually there are fixed rules you can use to decide whether something is in canonical form. The jargon meaning, a relaxation of the technical meaning, acquired its present loading in computer-science culture largely through its prominence in Alonzo Church's work in computation theory and mathematical logic (see [[bu;#fff;;jargon]Knights of the Lambda Calculus]). Compare [[bu;#fff;;jargon]vanilla].Non-technical academics do not use the adjective ‘canonical’ in any of the senses defined above with any regularity; they do however use the nouns [[b;#fff;]canon] and [[b;#fff;]canonicity] (not **canonicalness or **canonicality). The [[b;#fff;]canon] of a given author is the complete body of authentic works by that author (this usage is familiar to Sherlock Holmes fans as well as to literary scholars). ‘[[b;#fff;]The] canon’ is the body of works in a given field (e.g., works of literature, or of art, or of music) deemed worthwhile for students to study and for scholars to investigate.The word ‘canon’ has an interesting history. It derives ultimately from the Greek κανον (akin to the English ‘cane’) referring to a reed. Reeds were used for measurement, and in Latin and later Greek the word ‘canon’ meant a rule or a standard. The establishment of a canon of scriptures within Christianity was meant to define a standard or a rule for the religion. The above non-techspeak academic usages stem from this instance of a defined and accepted body of work. Alongside this usage was the promulgation of ‘canons’ (‘rules’) for the government of the Catholic Church. The techspeak usages ([[i;;]according to religious law]) derive from this use of the Latin ‘canon’.Hackers invest this term with a playfulness that makes an ironic contrast with its historical meaning. A true story: One Bob Sjoberg, new at the MIT AI Lab, expressed some annoyance at the incessant use of jargon. Over his loud objections, GLS and RMS made a point of using as much of it as possible in his presence, and eventually it began to sink in. Finally, in one conversation, he used the word [[b;#fff;]canonical] in jargon-like fashion without thinking. Steele: [[i;;]Aha! We've finally got you talking jargon too!] Stallman: [[i;;]What did he say?] Steele: [[i;;]Bob just used ‘canonical’ in the canonical way.]Of course, canonicality depends on context, but it is implicitly defined as the way [[b;#fff;]hackers] normally expect things to be. Thus, a hacker may claim with a straight face that ‘according to religious law’ is [[b;#fff;]not] the canonical meaning of [[b;#fff;]canonical]."
,careware,"A variety of [[bu;#fff;;jargon]shareware] for which either the author suggests that some payment be made to a nominated charity or a levy directed to charity is included on top of the distribution charge. Syn.: [[bu;#fff;;jargon]charityware]; compare [[bu;#fff;;jargon]crippleware], sense 2."
,"cargo cult programming","A style of (incompetent) programming dominated by ritual inclusion of code or program structures that serve no real purpose. A cargo cult programmer will usually explain the extra code as a way of working around some bug encountered in the past, but usually neither the bug nor the reason the code apparently avoided the bug was ever fully understood (compare [[bu;#fff;;jargon]shotgun debugging], [[bu;#fff;;jargon]voodoo programming]).The term ‘cargo cult’ is a reference to aboriginal religions that grew up in the South Pacific after World War II. The practices of these cults center on building elaborate mockups of airplanes and military style landing strips in the hope of bringing the return of the god-like airplanes that brought such marvelous cargo during the war. Hackish usage probably derives from Richard Feynman's characterization of certain practices as [[i;;]cargo cult science] in his book Surely You're Joking, Mr. Feynman! (W. W. Norton & Co, New York 1985, ISBN 0-393-01921-7)."
,cascade,"1. A huge volume of spurious error-message output produced by a compiler with poor error recovery. Too frequently, one trivial syntax error (such as a missing ‘)’ or ‘}’) throws the parser out of synch so that much of the remaining program text is interpreted as garbaged or ill-formed. 2. A chain of Usenet followups, each adding some trivial variation or riposte to the text of the previous one, all of which is reproduced in the new message; an [[bu;#fff;;jargon]include war] in which the object is to create a sort of communal graffito."
,"case and paste","[from ‘cut and paste’] The addition of a new [[bu;#fff;;jargon]feature] to an existing system by selecting the code from an existing feature and pasting it in with minor changes. Common in telephony circles because most operations in a telephone switch are selected using case statements. Leads to [[bu;#fff;;jargon]software bloat].In some circles of EMACS users this is called ‘programming by Meta-W’, because Meta-W is the EMACS command for copying a block of text to a kill buffer in preparation to pasting it in elsewhere. The term is condescending, implying that the programmer is acting mindlessly rather than thinking carefully about what is required to integrate the code for two similar cases.At [[bu;#fff;;jargon]DEC] (now HP), this is sometimes called [[b;#fff;]clone-and-hack] coding."
,"case mod","[from ‘case modification’] 1. Originally a kind of hardware hack on a PC intended to support [[bu;#fff;;jargon]overclocking] (e.g. with cutouts for oversized fans, or a freon-based or water-cooling system). 2. Nowadays, similar drastic surgery that's done just to make a machine look nifty. The commonest case mods combine acrylic case windows with LEDs to give the machine an eerie interior glow like a B-movie flying saucer. More advanced forms of case modding involve building machines into weird and unlikely shapes. The effect can be quite artistic, but one of the unwritten rules is that the machine must continue to function as a computer."
,"casters-up mode","[IBM, prob. fr. slang [[b;#fff;]belly up]] Yet another synonym for ‘broken’ or ‘down’. Usually connotes a major failure. A system (hardware or software) which is [[b;#fff;]down] may be already being restarted before the failure is noticed, whereas one which is [[b;#fff;]casters up] is usually a good excuse to take the rest of the day off (as long as you're not responsible for fixing it)."
,"casting the runes","What a [[bu;#fff;;jargon]guru] does when you ask him or her to run a particular program and type at it because it never works for anyone else; esp. used when nobody can ever see what the guru is doing different from what J. Random Luser does. Compare [[bu;#fff;;jargon]incantation], [[bu;#fff;;jargon]runes], [[bu;#fff;;jargon]examining the entrails]; also see the AI koan about Tom Knight in Some AI Koans (in Appendix A).A correspondent from England tells us that one of ICL's most talented systems designers used to be called out occasionally to service machines which the [[bu;#fff;;jargon]field circus] had given up on. Since he knew the design inside out, he could often find faults simply by listening to a quick outline of the symptoms. He used to play on this by going to some site where the field circus had just spent the last two weeks solid trying to find a fault, and spreading a diagram of the system out on a table top. He'd then shake some chicken bones and cast them over the diagram, peer at the bones intently for a minute, and then tell them that a certain module needed replacing. The system would start working again immediately upon the replacement."
,cat,"[from [[b;#fff;]catenate] via [[bu;#fff;;jargon]Unix] cat1] 1. [techspeak] To spew an entire file to the screen or some other output sink without pause (syn. [[bu;#fff;;jargon]blast]). 2. By extension, to dump large amounts of data at an unprepared target or with no intention of browsing it carefully. Usage: considered silly. Rare outside Unix sites. See also [[bu;#fff;;jargon]dd], [[bu;#fff;;jargon]BLT].Among Unix fans, cat1 is considered an excellent example of user-interface design, because it delivers the file contents without such verbosity as spacing or headers between the files, and because it does not require the files to consist of lines of text, but works with any sort of data.Among Unix haters, cat1 is considered the [[bu;#fff;;jargon]canonical] example of [[b;#fff;]bad] user-interface design, because of its woefully unobvious name. It is far more often used to [[bu;#fff;;jargon]blast] a file to standard output than to concatenate two files. The name cat for the former operation is just as unintuitive as, say, LISP's [[bu;#fff;;jargon]cdr].Of such oppositions are [[bu;#fff;;jargon]holy wars] made.... See also [[bu;#fff;;jargon]UUOC]."
,catatonic,"Describes a condition of suspended animation in which something is so [[bu;#fff;;jargon]wedged] or [[bu;#fff;;jargon]hung] that it makes no response. If you are typing on a terminal and suddenly the computer doesn't even echo the letters back to the screen as you type, let alone do what you're asking it to do, then the computer is suffering from catatonia (possibly because it has crashed). [[i;;]There I was in the middle of a winning game of nethack and it went catatonic on me! Aaargh!] Compare [[bu;#fff;;jargon]buzz]."
,cathedral,"[see [[bu;#fff;;jargon]bazaar] for derivation] The ‘classical’ mode of software engineering long thought to be necessarily implied by [[bu;#fff;;jargon]Brooks's Law]. Features small teams, tight project control, and long release intervals. This term came into use after analysis of the Linux experience suggested there might be something wrong (or at least incomplete) in the classical assumptions."
,"cd tilde","To go home. From the Unix C-shell and Korn-shell command cd ~, which takes one to one's $HOME (cd with no arguments happens to do the same thing). By extension, may be used with other arguments; thus, over an electronic chat link, cd ~coffee would mean [[i;;]I'm going to the coffee machine.]"
,CDA,"The [[i;;]Communications Decency Act], passed as section 502 of a major telecommunications reform bill on February 8th, 1996 ([[i;;]Black Thursday]). The CDA made it a federal crime in the USA to send a communication which is [[i;;]obscene, lewd, lascivious, filthy, or indecent, with intent to annoy, abuse, threaten, or harass another person.] It also threatened with imprisonment anyone who [[i;;]knowingly] makes accessible to minors any message that [[i;;]describes, in terms patently offensive as measured by contemporary community standards, sexual or excretory activities or organs].While the CDA was sold as a measure to protect minors from the putative evils of pornography, the repressive political aims of the bill were laid bare by the Hyde amendment, which intended to outlaw discussion of abortion on the Internet.To say that this direct attack on First Amendment free-speech rights was not well received on the Internet would be putting it mildly. A firestorm of protest followed, including a February 29th 1996 mass demonstration by thousands of netters who turned their [[bu;#fff;;jargon]home page]s black for 48 hours. Several civil-rights groups and computing/telecommunications companies mounted a constitutional challenge. The CDA was demolished by a strongly-worded decision handed down in 8th-circuit Federal court and subsequently affirmed by the U.S. Supreme Court on 26 June 1997 ([[i;;]White Thursday]). See also [[bu;#fff;;jargon]Exon]."
,cdr,"[from LISP] To skip past the first item from a list of things (generalized from the LISP operation on binary tree structures, which returns a list consisting of all but the first element of its argument). In the form [[b;#fff;]cdr down], to trace down a list of elements: [[i;;]Shall we cdr down the agenda?] Usage: silly. See also [[bu;#fff;;jargon]loop through].Historical note: The instruction format of the IBM 704 that hosted the original LISP implementation featured two 15-bit fields called the [[b;#fff;]address] and [[b;#fff;]decrement] parts. The term [[b;#fff;]cdr] was originally [[b;#fff;]Contents of Decrement part of Register]. Similarly, [[b;#fff;]car] stood for [[b;#fff;]Contents of Address part of Register].The cdr and car operations have since become bases for formation of compound metaphors in non-LISP contexts. GLS recalls, for example, a programming project in which strings were represented as linked lists; the get-character and skip-character operations were of course called CHAR and CHDR."
,chad,"1. [common] The perforated edge strips on printer paper, after they have been separated from the printed portion. Also called [[bu;#fff;;jargon]selvage], [[bu;#fff;;jargon]perf], and [[bu;#fff;;jargon]ripoff]. 2. The confetti-like paper bits punched out of cards or paper tape; this has also been called [[b;#fff;]chaff], [[b;#fff;]computer confetti], and [[b;#fff;]keypunch droppings]. It's reported that this was very old Army slang (associated with teletypewriters before the computer era), and has been occasionally sighted in directions for punched-card vote tabulators long after it passed out of live use among computer programmers in the late 1970s. This sense of ‘chad’ returned to the mainstream during the finale of the hotly disputed U.S. presidential election in 2000 via stories about the Florida vote recounts. Note however that in the revived mainstream usage chad is not a mass noun and ‘a chad’ is a single piece of the stuff.There is an urban legend that [[b;#fff;]chad] (sense 2) derives from the Chadless keypunch (named for its inventor), which cut little u-shaped tabs in the card to make a hole when the tab folded back, rather than punching out a circle/rectangle; it was clear that if the Chadless keypunch didn't make them, then the stuff that other keypunches made had to be ‘chad’. However, serious attempts to track down [[i;;]Chadless] as a personal name or U.S. trademark have failed, casting doubt on this etymology — and the U.S. Patent Classification System uses [[i;;]chadless] (small c) as an adjective, suggesting that [[i;;]chadless] derives from [[i;;]chad] and not the other way around. There is another legend that the word was originally acronymic, standing for [[i;;]Card Hole Aggregate Debris], but this has all the earmarks of a [[bu;#fff;;jargon]backronym]. It has also been noted that the word [[i;;]chad] is Scots dialect for gravel, but nobody has proposed any plausible reason that card chaff should be thought of as gravel. None of these etymologies is really plausible."
,"chad box","A metal box about the size of a lunchbox (or in some models a large wastebasket), for collecting the [[bu;#fff;;jargon]chad] (sense 2) that accumulated in [[bu;#fff;;jargon]Iron Age] card punches. You had to open the covers of the card punch periodically and empty the chad box. The [[bu;#fff;;jargon]bit bucket] was notionally the equivalent device in the CPU enclosure, which was typically across the room in another great gray-and-blue box."
,chain,"1. [[b;#fff;]vi.] [orig. from BASIC's CHAIN statement] To hand off execution to a child or successor without going through the [[bu;#fff;;jargon]OS] command interpreter that invoked it. The state of the parent program is lost and there is no returning to it. Though this facility used to be common on memory-limited micros and is still widely supported for backward compatibility, the jargon usage is semi-obsolescent; in particular, most Unix programmers will think of this as an [[bu;#fff;;jargon]exec]. Oppose the more modern [[b;#fff;]subshell]. 2. [[b;#fff;]n.] A series of linked data areas within an operating system or application. [[b;#fff;]Chain rattling] is the process of repeatedly running through the linked data areas searching for one which is of interest to the executing program. The implication is that there is a very large number of links on the chain."
,chainik,"[Russian, literally [[i;;]teapot]] Almost synonymous with [[bu;#fff;;jargon]muggle]. Implies both ignorance and a certain amount of willingness to learn, but does not necessarily imply as little experience or short exposure time as [[bu;#fff;;jargon]newbie] and is not as derogatory as [[bu;#fff;;jargon]luser]. Both a novice user and someone using a system for a long time without any understanding of the internals can be referred to as chainiks. Very widespread term in Russian hackish, often used in an English context by Russian-speaking hackers esp. in Israel (e.g. [[i;;]Our new colleague is a complete chainik]). FidoNet discussion groups often had a [[i;;]chainik] subsection for newbies and, well, old chainiks (eg. su.asm.chainik, ru.linux.chainik, ru.html.chainik). Public projects often have a chainik mailing list to keep the chainiks off the developers' and experienced users' discussions. Today, the word is slowly slipping into mainstream Russian due to the Russian translation of the popular yellow-black covered [[i;;]foobar for dummies] series, which (correctly) uses [[i;;]chainik] for [[i;;]dummy], but its frequent (though not excessive) use is still characteristic hacker-speak."
,channel,"[IRC] The basic unit of discussion on [[bu;#fff;;jargon]IRC]. Once one joins a channel, everything one types is read by others on that channel. Channels are named with strings that begin with a ‘#’ sign and can have topic descriptions (which are generally irrelevant to the actual subject of discussion). Some notable channels are #initgame, #hottub, callahans, and #report. At times of international crisis, #report has hundreds of members, some of whom take turns listening to various news services and typing in summaries of the news, or in some cases, giving first-hand accounts of the action (e.g., Scud missile attacks in Tel Aviv during the Gulf War in 1991)."
,"channel hopping","[common; IRC, GEnie] To rapidly switch channels on [[bu;#fff;;jargon]IRC], or a GEnie chat board, just as a social butterfly might hop from one group to another at a party. This term may derive from the TV watcher's idiom, [[b;#fff;]channel surfing]."
,"channel op","[IRC] Someone who is endowed with privileges on a particular [[bu;#fff;;jargon]IRC] channel; commonly abbreviated [[b;#fff;]chanop] or [[b;#fff;]CHOP] or just [[b;#fff;]op] (as of 2000 these short forms have almost crowded out the parent usage). These privileges include the right to [[bu;#fff;;jargon]kick] users, to change various status bits, and to make others into CHOPs."
,chanop,"[IRC] See [[bu;#fff;;jargon]channel op]."
,char,"Shorthand for ‘character’. Esp.: used by C programmers, as [[b;#fff;]char] is C's typename for character data."
,charityware,"Syn. [[bu;#fff;;jargon]careware]."
,"chase pointers","1. [[b;#fff;]vi.] To go through multiple levels of indirection, as in traversing a linked list or graph structure. Used esp. by programmers in C, where explicit pointers are a very common data type. This is techspeak, but it remains jargon when used of human networks. [[i;;]I'm chasing pointers. Bob said you could tell me who to talk to about....] See [[bu;#fff;;jargon]dangling pointer] and [[bu;#fff;;jargon]snap]. 2. [Cambridge] [[b;#fff;]pointer chase] or [[b;#fff;]pointer hunt]: The process of going through a [[bu;#fff;;jargon]core dump] (sense 1), interactively or on a large piece of paper printed with hex [[bu;#fff;;jargon]runes], following dynamic data-structures. Used only in a debugging context."
,chawmp,"[University of Florida] 16 or 18 bits (half of a machine word). This term was used by FORTH hackers during the late 1970s/early 1980s; it is said to have been archaic then, and may now be obsolete. It was coined in revolt against the promiscuous use of ‘word’ for anything between 16 and 32 bits; ‘word’ has an additional special meaning for FORTH hacks that made the overloading intolerable. For similar reasons, [[b;#fff;]/gaw´bl/] (spelled ‘gawble’ or possibly ‘gawbul’) was in use as a term for 32 or 48 bits (presumably a full machine word, but our sources are unclear on this). These terms are more easily understood if one thinks of them as faithful phonetic spellings of ‘chomp’ and ‘gobble’ pronounced in a Florida or other Southern U.S. dialect. For general discussion of similar terms, see [[bu;#fff;;jargon]nybble]."
,check,"A hardware-detected error condition, most commonly used to refer to actual hardware failures rather than software-induced traps. E.g., a [[b;#fff;]parity check] is the result of a hardware-detected parity error. Recorded here because the word often humorously extended to non-technical problems. For example, the term [[b;#fff;]child check] has been used to refer to the problems caused by a small child who is curious to know what happens when s/he presses all the cute buttons on a computer's console (of course, this particular problem could have been prevented with [[bu;#fff;;jargon]molly-guard]s)."
,cheerfully,"See [[bu;#fff;;jargon]happily]."
,chemist,"[Cambridge] Someone who wastes computer time on [[bu;#fff;;jargon]number-crunching] when you'd far rather the machine were doing something more productive, such as working out anagrams of your name or printing Snoopy calendars or running [[bu;#fff;;jargon]life] patterns. May or may not refer to someone who actually studies chemistry."
,"Chernobyl chicken","See [[bu;#fff;;jargon]laser chicken]."
,"Chernobyl packet","A network packet that induces a [[bu;#fff;;jargon]broadcast storm] and/or [[bu;#fff;;jargon]network meltdown], in memory of the April 1986 nuclear accident at Chernobyl in Ukraine. The typical scenario involves an IP Ethernet datagram that passes through a gateway with both source and destination Ether and IP address set as the respective broadcast addresses for the subnetworks being gated between. Compare [[bu;#fff;;jargon]Christmas tree packet]."
,"chicken head","[Commodore] The Commodore Business Machines logo, which strongly resembles a poultry part (within Commodore itself the logo was always called [[b;#fff;]chicken lips]). Rendered in ASCII as ‘C=’. With the arguable exception of the [[bu;#fff;;jargon]Amiga], Commodore's machines were notoriously crocky little [[bu;#fff;;jargon]bitty box]es, albeit people have written multitasking Unix-like operating systems with TCP/IP networking for them. Thus, this usage may owe something to Philip K. Dick's novel Do Androids Dream of Electric Sheep? (the basis for the movie Blade Runner; the novel is now sold under that title), in which a ‘chickenhead’ is a mutant with below-average intelligence."
,chickenboner,"[spamfighters] Derogatory term for a spammer. The image that goes with it is of an overweight redneck with bad teeth living in a trailer, hunched in semi-darkness over his computer and surrounded by rotting chicken bones in half-eaten KFC buckets and empty beer cans. See http://www.spamfaq.net/terminology.shtml#chickenboner for discussion."
,"chiclet keyboard","A keyboard with a small, flat rectangular or lozenge-shaped rubber or plastic keys that look like pieces of chewing gum. (Chiclets is the brand name of a variety of chewing gum that does in fact resemble the keys of chiclet keyboards.) Used esp. to describe the original IBM PCjr keyboard. Vendors unanimously liked these because they were cheap, and a lot of early portable and laptop products got launched using them. Customers rejected the idea with almost equal unanimity, and chiclets are not often seen on anything larger than a digital watch any more."
,"Chinese Army technique","Syn. [[bu;#fff;;jargon]Mongolian Hordes technique]."
,choad,"Synonym for ‘penis’ used in alt.tasteless and popularized by the denizens thereof. They say: [[i;;]We think maybe it's from Middle English but we're all too damned lazy to check the OED.] [I'm not. It isn't. —ESR] This term is alleged to have been inherited through 1960s underground comics, and to have been recently sighted in the Beavis and Butthead cartoons. Speakers of the Hindi, Bengali and Gujarati languages have confirmed that ‘choad’ is in fact an Indian vernacular word equivalent to ‘fuck’; it is therefore likely to have entered English slang via the British Raj."
,choke,"[common] To reject input, often ungracefully. [[i;;]NULs make System V's lpr1 choke.] [[i;;]I tried building an EMACS binary to use X, but cpp1 choked on all those #defines.] See [[bu;#fff;;jargon]barf], [[bu;#fff;;jargon]vi]."
,chomp,"1. To [[bu;#fff;;jargon]lose]; specifically, to chew on something of which more was bitten off than one can. Probably related to gnashing of teeth. 2. To bite the bag; See [[bu;#fff;;jargon]bagbiter].A hand gesture commonly accompanies this. To perform it, hold the four fingers together and place the thumb against their tips. Now open and close your hand rapidly to suggest a biting action (much like what Pac-Man does in the classic video game, though this pantomime seems to predate that). The gesture alone means ‘chomp chomp’ (see Verb Doubling in the Jargon Construction section of the Prependices). The hand may be pointed at the object of complaint, and for real emphasis you can use both hands at once. Doing this to a person is equivalent to saying [[i;;]You chomper!] If you point the gesture at yourself, it is a humble but humorous admission of some failure. You might do this if someone told you that a program you had written had failed in some surprising way and you felt dumb for not having anticipated it."
,chomper,"Someone or something that is chomping; a loser. See [[bu;#fff;;jargon]loser], [[bu;#fff;;jargon]bagbiter], [[bu;#fff;;jargon]chomp]."
,CHOP,"[IRC] See [[bu;#fff;;jargon]channel op]."
,"Christmas tree","A kind of RS-232 line tester or breakout box featuring rows of blinking red and green LEDs suggestive of Christmas lights."
,"Christmas tree packet","A packet with every single option set for whatever protocol is in use. See [[bu;#fff;;jargon]kamikaze packet], [[bu;#fff;;jargon]Chernobyl packet]. (The term doubtless derives from a fanciful image of each little option bit being represented by a different-colored light bulb, all turned on.) Compare [[bu;#fff;;jargon]Godzillagram]."
,chrome,"[from automotive slang via wargaming] Showy features added to attract users but contributing little or nothing to the power of a system. [[i;;]The 3D icons in Motif are just chrome, but they certainly are pretty chrome!] Distinguished from [[bu;#fff;;jargon]bells and whistles] by the fact that the latter are usually added to gratify developers' own desires for featurefulness. Often used as a term of contempt."
,chug,"To run slowly; to [[bu;#fff;;jargon]grind] or [[bu;#fff;;jargon]grovel]. [[i;;]The disk is chugging like crazy.]"
,"Church of the SubGenius","A mutant offshoot of [[bu;#fff;;jargon]Discordianism] launched in 1981 as a spoof of fundamentalist Christianity by the ‘Reverend’ Ivan Stang, a brilliant satirist with a gift for promotion. Popular among hackers as a rich source of bizarre imagery and references such as [[i;;]Bob] the divine drilling-equipment salesman, the Benevolent Space Xists, and the Stark Fist of Removal. Much SubGenius theory is concerned with the acquisition of the mystical substance or quality of [[bu;#fff;;jargon]slack]. There is a home page at http://www.subgenius.com/."
,CI$,"Hackerism for ‘CIS’, CompuServe Information Service. The dollar sign refers to CompuServe's rather steep line charges. Often used in [[bu;#fff;;jargon]sig block]s just before a CompuServe address. Syn. [[bu;#fff;;jargon]Compu$erve]."
,"Cinderella Book","[CMU] Introduction to Automata Theory, Languages, and Computation, by John Hopcroft and Jeffrey Ullman, (Addison-Wesley, 1979). So called because the cover depicts a girl (putatively Cinderella) sitting in front of a Rube Goldberg device and holding a rope coming out of it. On the back cover, the device is in shambles after she has (inevitably) pulled on the rope. See also [[bu;#fff;;jargon]book titles]."
,"Classic C","[a play on ‘Coke Classic’] The C programming language as defined in the first edition of [[bu;#fff;;jargon]K&R], with some small additions. It is also known as ‘K&R C’. The name came into use while C was being standardized by the ANSI X3J11 committee. Also ‘C Classic’.An analogous construction is sometimes applied elsewhere: thus, ‘X Classic’, where X = Star Trek (referring to the original TV series) or X = PC (referring to IBM's ISA-bus machines as opposed to the PS/2 series). This construction is especially used of product series in which the newer versions are considered serious losers relative to the older ones."
,clean,"1. [[b;#fff;]adj.] Used of hardware or software designs, implies ‘elegance in the small’, that is, a design or implementation that may not hold any surprises but does things in a way that is reasonably intuitive and relatively easy to comprehend from the outside. The antonym is ‘grungy’ or [[bu;#fff;;jargon]crufty]. 2. [[b;#fff;]v.] To remove unneeded or undesired files in a effort to reduce clutter: [[i;;]I'm cleaning up my account.] [[i;;]I cleaned up the garbage and now have 100 Meg free on that partition.]"
,"click of death","A syndrome of certain Iomega ZIP drives, named for the clicking noise that is caused by the malady. An affected drive will, after accepting a disk, start making a clicking noise and refuse to eject the disk. A common solution for retrieving the disk is to insert the bent end of a paper clip into a small hole adjacent to the slot. [[i;;]Clicked] disks are generally unusable after being retrieved from the drive.The clicking noise is caused by the drive's read/write head bumping against its movement stops when it fails to find track 0 on the disk, causing the head to become misaligned. This can happen when the drive has been subjected to a physical shock, or when the disk is exposed to an electromagnetic field, such as that of the CRT. Another common cause is when a package of disks is armed with an anti-theft strip at a store. When the clerk scans the product to disarm the strip, it can demagnetize the disks, wiping out track 0.There is evidence that the click of death is a communicable disease; a [[i;;]clicked] disk can cause the read/write head of a ""clean"" drive to become misaligned. Iomega at first denied the existence of the click of death, but eventually offered to replace free of charge any drives affected by the condition."
,CLM,"[Sun: ‘Career Limiting Move’] 1. [[b;#fff;]n.] An action endangering one's future prospects of getting plum projects and raises, and possibly one's job: [[i;;]His Halloween costume was a parody of his manager. He won the prize for ‘best CLM’.] 2. adj. Denotes extreme severity of a bug, discovered by a customer and obviously missed earlier because of poor testing: [[i;;]That's a CLM bug!]"
,clobber,"To overwrite, usually unintentionally: [[i;;]I walked off the end of the array and clobbered the stack.] Compare [[bu;#fff;;jargon]mung], [[bu;#fff;;jargon]scribble], [[bu;#fff;;jargon]trash], and [[bu;#fff;;jargon]smash the stack]."
,clock,"[[b;#fff;]n.,v.] 1. [techspeak] The master oscillator that steps a CPU or other digital circuit through its paces. This has nothing to do with the time of day, although the software counter that keeps track of the latter may be derived from the former. 2. [[b;#fff;]vt.] To run a CPU or other digital circuit at a particular rate. [[i;;]If you clock it at 1000MHz, it gets warm.]. See [[bu;#fff;;jargon]overclock]. 3. [[b;#fff;]vt.] To force a digital circuit from one state to the next by applying a single clock pulse. [[i;;]The data must be stable 10ns before you clock the latch.]"
,clocks,"Processor logic cycles, so called because each generally corresponds to one clock pulse in the processor's timing. The relative execution times of instructions on a machine are usually discussed in clocks rather than absolute fractions of a second; one good reason for this is that clock speeds for various models of the machine may increase as technology improves, and it is usually the relative times one is interested in when discussing the instruction set. Compare [[bu;#fff;;jargon]cycle], [[bu;#fff;;jargon]jiffy]."
,clone,"1. An exact duplicate: [[i;;]Our product is a clone of their product.] Implies a legal reimplementation from documentation or by reverse-engineering. Also connotes lower price. 2. A shoddy, spurious copy: [[i;;]Their product is a clone of our product.] 3. A blatant ripoff, most likely violating copyright, patent, or trade secret protections: [[i;;]Your product is a clone of my product.] This use implies legal action is pending. 4. [obs] [[b;#fff;]PC clone:] a PC-BUS/ISA/EISA/PCI-compatible 80x86-based microcomputer (this use is sometimes spelled [[b;#fff;]klone] or [[b;#fff;]PClone]). These invariably have much more bang for the buck than the IBM archetypes they resemble. This term fell out of use in the 1990s; the class of machines it describes are now simply [[b;#fff;]PCs] or [[b;#fff;]Intel machines]. 5. [obs.] In the construction [[b;#fff;]Unix clone]: An OS designed to deliver a Unix-lookalike environment without Unix license fees, or with additional ‘mission-critical’ features such as support for real-time programming. [[bu;#fff;;jargon]Linux] and the free BSDs killed off this product category and the term with it. 6. [[b;#fff;]v.] To make an exact copy of something. [[i;;]Let me clone that] might mean [[i;;]I want to borrow that paper so I can make a photocopy] or [[i;;]Let me get a copy of that file before you mung it]."
,"clone-and-hack coding","[DEC] Syn. [[bu;#fff;;jargon]case and paste]."
,"clover key","[Mac users] See [[bu;#fff;;jargon]feature key]."
,clue-by-four,"[Usenet: portmanteau, clue + two-by-four] The notional stick with which one whacks an aggressively clueless person. This term derives from a western American folk saying about training a mule [[i;;]First, you got to hit him with a two-by-four. That's to get his attention.] The clue-by-four is a close relative of the [[bu;#fff;;jargon]LART]. Syn. [[b;#fff;]clue stick]. This metaphor is commonly elaborated; your editor once heard a hacker say [[i;;]I smite you with the great sword Cluebringer!]"
,clustergeeking,"[CMU] Spending more time at a computer cluster doing CS homework than most people spend breathing."
